,,Not checked,Pass,Fail,Blocked,N/A,Automated
TC019,"Validate ""First Name"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""First Name"" field.
2. Click ""Create User"" button.
3. Observe ""Firs Name"" field.","1. Field border becomes highlighted in purple.
2. Btn should be visible and clickable.
3a. ""First Name"" filed border becomes highlighted in red color.
3b. ""First name is required"" message appears in red color under the field.
3c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC020,"Validate ""Last Name"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Last Name"" field.
2. Click ""Create User"" button.
3. Observe ""Last Name"" field.","1. Field border becomes highlighted in purple.
2. Btn should be visible and clickable.
3a. ""Last Name"" filed border becomes highlighted in red color.
3b. ""Last name is required"" message appears in red color under the field.
3c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC021,"Validate ""Email"" required  field",The user is logged in as an Admin and is on the Edit User page,"1. Click on ""Email"" field.
2. Click ""Create User"" button.
3. Observe ""Email"" field.","1. Field border becomes highlighted in purple.
2. Btn should be visible and clickable.
3a. ""Email"" filed border becomes highlighted in red color.
3b. ""Email is required"" message appears in red color under the field.
3c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC022,"Validate ""Password"" required field",The user is logged in as an Admin and is on the Create User page,"1. Click on ""Password"" field.
2. Click outside the field.
3. Click ""Create User"" button.
","1. Field border becomes highlighted in purple.
2. Field border is unhighlighted.
3a. ""Create User"" btn should be visible and clickable.
3b. Field border should become highlighted in red color
3c. ""Password is required"" message should be displayed in red color
underneath input field.
3d. Red exclamation sign should be displayed at the end of the input field.
",,Pass,Yes
TC023,Validate Invalid Email Format Error Message,The user is logged in as an Admin and is on the Create User page,"1. Enter an invalid email format.
2. Fill in required field.
3. Click on the ""Create User"" button.
4. Observe the ""Email"" input field.","1. The field accepts the input and input is displayed in the email field.
2. Fields accepts valid input.
3. ""Create User"" btn should be visible and clickable.
4a. ""Invalid email"" message should be visible under input field.
4b. Field border should be highlighted in red color.",,Pass,Yes
TC024,Verify Duplicate Email Error Message,The user is logged in as an Admin and is on the Create User page,"1. Fill all mandatory fields 
2. Enter a duplicate email in the ""Email"" input field.
3. Click on the ""Create User"" button.
4. Observe the ""Email"" input field.","1. Fields accept valid input.
2. Fields accepts input.
3. Btn should be clickable and visible.
4. ""Email must be unique"" error messaje toast is displayed.",,Pass,Yes
TC025,Validate Minimum Characters Password Error,The user is logged in as an Admin and is on the Create User page,"1. Click on ""Password"" field.
2. Fill field with less than 8 characters.
3. Fill in all required fields
4. Click ""Create User"" button.
5. Observe ""Password"" input field.
","1. Field border becomes highlighted in purple.
2. Characters are added to the field as dots (hidden).
3. Fields accept valid input.
4. ""Create User"" btn should be visible and clickable.
5a. Password field border is red highlighted.
5b. Exclamation mark icon is shown.
5c. ""Password must be at least 8 characters"" error message should be visible underneath input field.

",,Pass,Yes
TC026,Validate Show/hide Password,The user is logged in as an Admin and is on the Create User page,"1. Click on ""Password"" field.
2. Add valid password.
3. Click on hide/show (eye) icon at the end of the password field.","1. Field border becomes highlighted in purple.
2. Input is correctly added, characters are hidden and displayed as dots. 
3. Password characters are now visible and hide/show icon changes indicating that characters are no longer hidden.",,Pass,Yes
TC027, Validate Departments Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on ""Departments"" field.
2. Click on a department name.
3. Click on multiple department names.
4. Click on the ""X"" mark at the end of the department names.","1. Dropdown with existing deaprtments should open.
2. Selected department should be visible inside the field.
3. User should be able to add multiple departments  →  Department names should be visible inside the Departments field.
4. Departments should disappear from the Departments field.",,Pass,Yes
TC028,Verify Search Functionality in Departments Dropdown,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Departments"" field.
2. Type an existing department.
3. Type a non-existing department.","1a. Department dropdown with options should open.
1b. Department field should become editable 
2. Matching department should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,Yes
TC029,Validate Department Dropdown List Behavior,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Department"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with department options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional department options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,Yes
TC030, Validate Managed Departments Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on ""Managed Departments"" field.
2. Click on a department name.
3. Click on multiple department names.
4. Click on the ""X"" mark at the end of the department names.","1. Dropdown with existing departments should open.
2. Selected department should be visible inside the field.
3. User should be able to add multiple departments  →  Department names should be visible inside the Managed Departments field.
4. Departments should disappear from the Managed Departments field.",,Pass,Yes
TC031,Verify Search Functionality in Managed Departments Dropdown,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Managed Departments"" field.
2. Type an existing department.
3. Type a non-existing department.","1a. Dropdown with department options should open.
1b. Managed Departments field should become editable.
2. Matching department should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,Yes
TC032,Validate Managed Departments Dropdown List Behavior,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Managed Departments"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with department options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional department options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,No
TC033,"Verify Linked Behavior Between Departments and Managed Departments Field

",User is logged in as Admin and is on the Create User page.,"1. Click on Managed Departments dropdown.
2. Select a department from the dropdown.
3. Click on ""x"" mark at the end of the department name in the Departments dropdown.","1. Dropdown with all existing departments should be visible.
2a. Selected department name should be visible inside the Managed Departments dropdown.
2b. Selected department name should be visible inside the Departments dropdown.
3a. Department name should not be visible inside the Departments dropdown.
3b. Department name should not be visible inside the Managed Departments dropdown.",,Pass,Yes
TC034, Validate Team Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on ""Team"" field.
2. Click on a team name.
3. Click on multiple team names.
4. Click on the ""X"" mark at the end of the team name.","1. Dropdown with existing teams should open.
2. Selected team should be visible inside the field.
3. User should be able to add multiple teams →  Team names should be visible inside the Team field.
4. Teams should disappear from the Teams field.",,Pass,Yes
TC035,Verify Search Functionality in Team Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Team"" field.
2. Type an existing team name.
3. Type a non-existing team name.","1a. Team dropdown with options should open.
1b. Team field should become editable.
2. Matching team name should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,Yes
TC036,Validate Team Dropdown List Behavior,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Team"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with team options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional team options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,Yes
TC037, Validate Managed Teams Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on ""Managed Teams"" field.
2. Click on a team name.
3. Click on multiple team names.
4. Click on the ""X"" mark at the end of the team names.","1. Dropdown with existing teams should open.
2. Selected team should be visible inside the field.
3. User should be able to add multiple teams →  Team names should be visible inside the Managed Teams field.
4. Teams should disappear from the Managed Teams field.",,Pass,Yes
TC038,Verify Search Functionality in Managed Teams Dropdown,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Managed Teams"" field.
2. Type an existing team name.
3. Type a non-existing team name.","1a. Dropdown with team options should open.
1b. Managed Teams field should become editable.
2. Matching team should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,Yes
TC039,Validate Managed Teams Dropdown List Behavior,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Managed Teams"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with team options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional team options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,Yes
TC040,"Verify Linked Behavior Between Temas and Managed Teams Field

",User is logged in as Admin and is on the Create User page.,"1. Click on Managed Teams dropdown.
2. Select a team from the dropdown.
3. Click on ""x"" mark at the end of the team name in the Team dropdown.","1. Dropdown with all existing teams should be visible.
2a. Selected team name should be visible inside the Managed Teams dropdown.
2b. Selected team name should be visible inside the Team dropdown.
3a. Team name should be cleared from the Team dropdown.
3b. Team name should be cleared from the Managed Teams dropdown.",,Pass,Yes
TC041,Validate Manager Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on ""Manager"" dropdown field.
2. Click on a manager name.
3. Click on the ""x"" mark inside the manager's name badge","1. Dropdown list with available users should be visible.
2. Manager name in badge should be visibile inside the dropdown.
3. Manager name badge should not be visible inside the Managers field.",,Pass,Yes
TC042,Verify Search Functionality in Manager Dropdown Field,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Manager"" field.
2. Type an existing manager name.
3. Type a non-existing manager name.","1a. Manager dropdown with options should open.
1b. Manager field should become editable.
2. Matching manager name should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",,Pass,Yes
TC043,Validate Manager Dropdown List Behavior,User is logged in as Admin and is on the Create User page.,"1. Click on the ""Manager"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with manager options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional manager options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,Yes
TC044,Validate Roles Required Field,User is logged in as Admin and is on the Create User page.,"1. Observe the Role section in the Access & Roles section
1. Uncheck Employee role.
2. Click on Create User btn.","1a. Role section should be visible.
1b. Employee role should be checked by default.
2. Employee role should be unchecked.
3. ""Role is required"" message should be displayed under roles.",https://ensemble-ro.atlassian.net/browse/HOOP-442,Pass,Yes
TC045,Validate Status Checkbox Functionality - Inactive,The user is logged in as an Admin and is on the Create User page,"1. Click on Active checkbox.
2. Click on the ""Create User"" button.
3. Sign in with the inactive user.","1. Chekcbox is unchecked.
2. The user is successfully created and appears in the user list.
3. The inactive user is unable to sign in, on the login page ""Account is disabled, contact your administrator."" message is shown.",,Pass,No
TC046,Validate Status Checkbox Functionality - Active,The user is logged in as an Admin and is on the Create User page,"1. Fill in required fields.
2. Ensure Active checkbox is checked.
3. Click on ""Create User"" btn.
4. On Users page search in the search field for the name of the newly created user.
5. Observe the status badge in the Status collumn.","1. Fields should accept valid input.
2. Active checkbox should be checked by default.
3a.  ""User has been successfully created!"" toast should be visible.
3b. User should be redirected to ""Users"" page.
4. User should be visible in the Users table.
5. Created user should have ""Active"" status badge.",,Pass,No
TC047,"Validate ""Create User"" btn functionality",The user is logged in as an Admin and is on the Edit User page to a Active user,"1. Fill in all mandatory fields.
2. Click on ""Create User"" btn.","1. Fields should accept valid input.
2a. User should be redirected to the Users page.
2b. ""User has been successfully created!"" toast should be visible. ",,Pass,
TC048,Cancel create new Employee user,The user is logged in as an Admin and is on the Create User page,"1. Fill in all required fields.
2. In the Role section check ""Employee"" role.
3. Click on ""Cancel"".
4. On the Users page, in the search input field, search for the username.","1. Fields accept valid input.
2. Employee role checkbox should be checked
3a. ""Cancel"" btn should be visible and clickable.
3b. User is redirected to the ""Users"" page and no user is created.
4a. Search input should accept the input.
4b. ""No Users found"" message should be displayed in the users table and no new user should be created.",,Pass,Yes
TC049,Cancel create new HR user,The user is logged in as an Admin and is on the Create User page,"1. Fill in all required fields.
2. In the Role section check ""Hr"" role.
3. Click on ""Cancel"".
4. On the Users page, in the search input field, search for the username.","1. Fields accept valid input.
2. Hr role checkbox should be checked
3a. ""Cancel"" btn should be visible and clickable.
3b. User is redirected to the ""Users"" page and no user is created.
4a. Search input should accept the input.
4b. ""No Users found"" message should be displayed in the users table and no new user should be created.",,Pass,Yes
TC050,Cancel create new Company Manager user,The user is logged in as an Admin and is on the Create User page,"1. Fill in all required fields.
2. In the Role section check ""Company manager"" role.
3. Click on ""Cancel"".
4. On the Users page, in the search input field, search for the username.","1. Fields accept valid input.
2. Company manager role checkbox should be checked.
3a. ""Cancel"" btn should be visible and clickable.
3b. User is redirected to the ""Users"" page and no user is created.
4a. Search input should accept the input.
4b. ""No Users found"" message should be displayed in the users table and no new user should be created.",,Pass,Yes
TC051,Cancel create new Admin user,The user is logged in as an Admin and is on the Create User page,"1. Fill in all required fields.
2. In the Role section check ""Admin"" role.
3. Click on ""Cancel"".
4. On the Users page, in the search input field, search for the username.","1. Fields accept valid input.
2. Admin role checkbox should be checked.
3a. ""Cancel"" btn should be visible and clickable.
3b. User is redirected to the ""Users"" page and no user is created.
4a. Search input should accept the input.
4b. ""No Users found"" message should be displayed in the users table and no new user should be created.",,Pass,Yes
Admin - User View Page,,,,,,,
TC052,"Verify access to ""User Detail"" page",The user is logged in as an Admin,"1. Navigate to the ""Users"" menu.
2. Click/Hover on the action button.
3. Click on ""View"" button from action menu.","1. The user successfully accesses the ""Users"" page.
2. The action menu with Edit, View and Delete options is displayed.
3. User successfully lands on User detail page.",,Pass,Yes
TC053,Page UI,The user is logged in as an Admin and is on the User Details page,1. Observe the page.,"1a. Left navigation should be visible  → Navigation is correctly displayed.  
1b. Users section should be highlighted  → The ""Users"" section is visually highlighted.  
1c. Page header should be visible. → The correct page title, ""User Details"" is displayed.
1d. User section header should be visible → Avatar, User Name, User information and Edit button are correctly displayed.
1e. User section form should be visible → Full Name, Email, Management Chain, Direct Reports, Department, Teams, Roles, Status, Created at are correctly displayed.
1f. User Goals section should be visible → ""Add Goal"" button and available goals or ""No Goals Found"" text are displayed.
",,Pass,Yes
TC054,Verify Edit button,The user is logged in as an Admin and is on the User Details page,1. Click on Edit button.,1. User is redirected to User Edit page.,,Pass,Yes
TC055,Verify Add Goal button,The user is logged in as an Admin and is on the User Details page,"1. Click on ""Add Goal"" button.
",1. User is redirected to Add Goal page.,,Pass,Yes
TC056,"Verify Access to ""Goal"" details from ""User Details"" page",The user is logged in as an Admin and is on the User Details page on a user page assigned to at least one goal,"1. In ""Goals"" section, click on the user's assigned goal title.","1. User should be redirected to the ""Goal Details"" page.",,Pass,No
TC057,Verify Goals section functionality,"1. The user is logged in as Admin and is on the User Details page.
2. The viewed user should own at least one goal.","1. Observe the Goals section.
","1a. User's owned goals should be visible in the Goals section.
1b. Goal count indicator should indicate the number of visible goals in the Goals section.
",,Pass,
Admin - User Edit Page - HR ,,,,,,,
TC058,"Verify access to ""User Edit"" page",The user is logged in as an Admin,"1. Navigate to the ""Users"" menu.
2. Click/Hover on the action button.
3. Click on ""Edit"" button from action menu.","1. The user successfully accesses the ""Users"" page.
2. The action menu with Edit, View and Delete options is displayed.
3. User successfully lands on User edit page.",,Pass,Yes
TC059,Page UI,The user is logged in as an Admin and is on the Edit User page of a HR user,1. Observe the page,"1a. Left navigation should be visible  → Navigation is correctly displayed.  
1b. Users section should be highlighted  → The ""Users"" section is visually highlighted.  
1c. Page header should be visible. → The correct page title ""Edit User"" is displayed.
1d. The Basic Information section should be visible → Fields for First Name, Last Name, Email, and Password are displayed with user's information.
1e. ""Leave blank to keep current password."" text should be visible and displayed underneath Password input field.
1f. The Organizational details section should be visible → Dropdown Fields for Departments, Managed Departments, Teams, Managed Teams and Manager are displayed with the user's info if that is the case.
 1g. Access & Roles section should be visible → Checkboxes for Admin, Company Manager, Employee and HR should be visible. (HR checked by default)
1h. Status section with Active checkbox checked by default should be visible.
1i.  Action buttons should be visible → ""Cancel"" and ""Update User"" buttons are displayed and clickable.
",,Pass,Yes
TC060,"Validate ""First Name"" required  field",The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""First Name"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Firs Name"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""First Name"" filed border becomes highlighted in red color.
4b. ""First name is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC061,"Validate ""Last Name"" required  field",The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Last Name"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Last Name"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""Last Name"" filed border becomes highlighted in red color.
4b. ""Last name is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC062,"Validate ""Email"" required  field",The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Email"" field.
2. Delete the input.
3. Click ""Update User"" button.
4. Observe ""Email"" field.","1. Field border becomes highlighted in purple.
2. The input should be deleted successfully, input field remaining empty.
3. Btn should be visible and clickable.
4a. ""Email"" filed border becomes highlighted in red color.
4b. ""Email is required"" message appears in red color under the field.
4c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC063,Invalid Email,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Email"" field.
2. Add an invalid email format (e.g without ""@"").
3. Click ""Update User"" button.","1. Field border becomes highlighted in purple.
2. New data is correctly added and remain visible.
3. Btn should be visible and clickable.
4.Email"" filed border becomes highlighted in red color.
5b. ""Invalid email"" message appears in red color under the field.
5c. Red exclamation icon should be shown at the end of the input field.",,Pass,Yes
TC064,Duplicate Email,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Email"" field.
2. Add a duplicate email.
3. Click ""Update User"" button.","1. Field border becomes highlighted in purple.
2. New data is correctly added and remain visible.
3. Btn should be visible and clickable.
4. Error message ""Email must be unique"" is shown.",,Pass,Yes
TC065,Invalid Password (minimum required characters),The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Password"" field.
2. Fill field with less than 8 characters.
3. Click ""Create User"" button.
4. Observe ""Password"" input field.
","1. Field border becomes highlighted in purple.
2. Characters are added to the field as dots (hidden).
3. Btn should be visible and clickable.
4a. Password field border is red highlighted.
4b. Exclamation mark icon should be displayed at the end of the input field.
4c. ""Password must be at least 8 characters"" error message is shown.
",,Pass,Yes
TC066,Validate show/hide password,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Password"" field.
2. Add valid password.
3. Click on hide/show (eye) icon at the end of the password field.","1. Field border becomes highlighted in purple.
2. Input is correctly added, characters are hidden and displayed as dots. 
3. Password characters are now visible and hide/show icon changes indicating that characters are no longer hidden.",,Pass,Yes
TC067, Validate Department Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Department"" field.
2. Select a department name.
3. Select multiple department names.
4. Click on the ""X"" mark at the end of the department names.","1. Dropdown with existing deaprtments should open.
2. Selected department should be visible inside the field.
3. Selected departments should be visible inside the field.
4. Department field should be empty.",,Pass,
TC068, Verify Search Functionality in Department Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Department"" field.
2. Type an existing department.
3. Type a non-existing department.","1a. Department dropdown with options should open.
1b. Department field should become editable.
2. Matching department should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",,Pass,
TC069,Validate Department Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Department"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with department options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional department options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC070, Validate Managed Departments Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Managed Departments"" field.
2. Click on a department name.
3. Click on multiple department names.
4. Click on the ""X"" mark at the end of the department names.","1. Dropdown with existing deaprtments should open.
2. Selected department should be visible inside the field.
3. User should be able to add multiple departments  →  Department names should be visible inside the Managed Departments field.
4. Departments should disappear from the Managed Departments field.",,Pass,
TC071,Verify Search Functionality in Managed Departments Dropdown,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Managed Departments"" field.
2. Type an existing department.
3. Type a non-existing department.","1a. Dropdown with department options should open.
1b. Managed Departments field should become editable.
2. Matching department should be visible in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,
TC072,Validate Managed Departments Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Managed Departments"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with department options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional department options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
TC073,Validate Linked Behavior Between Departments and Managed Departments Dropdowns,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on Managed Departments dropdown.
2. Select a departments from the dropdown.
3. Click on ""x"" mark at the end of the department name in the Departments dropdown.","1. Dropdown with all existing departments should be visible.
2a. Selected department name should be visible inside the Managed Departments dropdown.
2b. Selected department name should be visible inside the Departments dropdown.
3a. Department name should not be visible inside the Departments dropdown.
3b. Department name should not be visible inside the Managed Departments dropdown.",,Pass,
TC074, Validate Teams Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on ""Team"" field.
2. Click on a team name.
3. Click on the ""X"" mark at the end of the team name.","1. Dropdown with existing teams should open.
2. Selected team should be visible inside the field.
3. Team field should be empty.",,Pass,
TC075,Verify Search Functionality in Teams Dropdown Field,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Team"" field.
2. Type an existing team name.
3. Type a non-existing team name.","1a.Team dropdown with options should open.
1b. Team field should become editable.
2. Matching team name should be displayed in the dropdown.
3. ""No options available"" message should be displayed inside the dropdown.",https://ensemble-ro.atlassian.net/browse/HOOP-441,Pass,
TC076,Validate Teams Dropdown List Behavior,The user is logged in as an Admin and is on the Edit User page of a HR user,"1. Click on the ""Team"" field.
2. Hover over all visible options.
3. Click on the down arrow of the navigation bar.
4 .Click on the up arrow of the navigation bar.","1. Dropdown with team options should open.
2. Options should be highlighted in grey color when on hover.
3. Additional team options (if any) become visible as the dropdown scrolls down.
4. The dropdown scrolls back up, showing previously hidden options from the top.",,Pass,
